area,bedroom_num,bathroom_num,price,dev_name,floor_count,floor_num,furnishing,locality,poster_name,project,id
1855,4,3,80000,Raheja Universal Pvt Ltd.,16.0,9.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,2870518
1000,2,2,75000,,11.0,9.0,Semi-Furnished,Vile Parle West,Ajay  Kapur,,4981086
1855,3,3,80000,Raheja Universal Pvt Ltd.,16.0,9.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,5577134
1855,3,3,85000,Raheja Universal Pvt Ltd.,18.0,9.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,5611705
1600,3,3,70000,Raheja Universal Pvt Ltd.,18.0,5.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,5707993
1100,2,2,90000,,5.0,2.0,Semi-Furnished,Bandra West,Ajay  Kapur,,5755596
1100,2,2,75000,,7.0,6.0,Semi-Furnished,Bandra West,Ajay  Kapur,,5775437
1650,3,3,75000,,7.0,4.0,Semi-Furnished,Chembur,Pankaj Dembla,,5804561
1100,2,2,80000,,5.0,4.0,Semi-Furnished,Santacruz West,Ajay  Kapur,,5914919
1650,3,3,80000,Raheja Universal Pvt Ltd.,19.0,16.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,5987555
2250,3,3,70000,,18.0,5.0,Semi-Furnished,Chembur,Pankaj Dembla,Kalpa Taru Divya Swapna,6155358
1775,3,3,75000,,14.0,7.0,Semi-Furnished,Chembur,Manoj Bhavnani,,6445945
1000,2,2,75000,,7.0,0.0,Unfurnished,Bandra West,Ajay  Kapur,,6646054
1000,2,2,80000,,10.0,7.0,Furnished,Bandra West,Ajay  Kapur,,6800546
1300,3,3,100000,,10.0,5.0,Unfurnished,Bandra West,Ajay  Kapur,,6810122
1200,2,2,90000,,7.0,6.0,Unfurnished,Bandra West,Ajay  Kapur,,7015687
1800,3,3,110000,,9.0,1.0,Unfurnished,Bandra West,Ajay  Kapur,,7031360
1100,2,2,80000,,6.0,5.0,Furnished,Bandra West,Ajay  Kapur,,8247830
1100,2,2,80000,,10.0,4.0,Semi-Furnished,Khar West,Ajay  Kapur,,8248712
500,1,1,100000,,8.0,5.0,Semi-Furnished,Breach Candy,Ajay  Kapur,,8276871
1550,3,3,68000,Runwal Developers,15.0,8.0,Unfurnished,Ghatkopar West,Parag Shah,Runwal Orchard Residency,8464964
1856,3,3,75000,Raheja Universal Pvt Ltd.,19.0,9.0,Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,9005166
1860,3,3,80000,Raheja Universal Pvt Ltd.,18.0,5.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,9014077
1855,3,3,85000,Raheja Universal Pvt Ltd.,18.0,5.0,Semi-Furnished,Chembur,Pankaj Dembla,Raheja Acropolis,9018532
2250,4,4,90000,,12.0,4.0,Semi-Furnished,Chembur,Pankaj Dembla,,9037440
3500,4,6,100000,,,1.0,Unfurnished,Chembur,Manoj Bhavnani,,9168803
3000,4,4,110000,,8.0,2.0,Semi-Furnished,Chembur,Pankaj Dembla,,9251161
2000,3,3,90000,,7.0,6.0,Semi-Furnished,Bandra West,Idris Khatri,,9752727
2000,3,3,110000,,10.0,6.0,Unfurnished,Bandra West,Idris Khatri,,9845648
1100,2,2,75000,,7.0,3.0,Furnished,Bandra West,Sanjay Kumar,,9877173
1220,2,2,95000,,9.0,6.0,Furnished,Bandra West,Idris Khatri,Palli Hill,9905466
1050,2,2,75000,,7.0,3.0,Semi-Furnished,Santacruz West,Idris Khatri,,10378664
1200,2,2,90000,,6.0,4.0,Unfurnished,Bandra West,Ajay  Kapur,Pali Hill Apartment,10382259
1000,2,2,80000,,4.0,3.0,Furnished,Bandra West,Ajay  Kapur,,10393693
2000,4,5,110000,,8.0,2.0,Furnished,Bandra West,Khan,,10429357
1295,3,3,90000,Oberoi Realty Limited,36.0,9.0,Semi-Furnished,Andheri West,Kamal Malkani,Oberoi Springs,10956447
1500,3,3,100000,Sabari Group,16.0,7.0,Unfurnished,Chembur,Sanjay Acharya,Ashville,11517352
1377,3,2,90000,Oberoi Realty Limited,27.0,23.0,Furnished,Andheri East,Sushant,Project Oberoi Splendor,11628196
1377,3,3,83000,Oberoi Realty Limited,27.0,20.0,Semi-Furnished,Andheri East,Sushant,Project Oberoi Splendor,11633730
1530,3,3,100000,,17.0,7.0,Furnished,Parel,Vilas,,11935885
1100,2,2,70000,,8.0,4.0,Furnished,Santacruz West,Ajay  Kapur,,12021604
960,2,2,100000,,16.0,9.0,Semi-Furnished,Sewri,Avinash gurav,,12214291
1700,2,2,105000,,12.0,10.0,Furnished,Santacruz West,Rajni S,,12221251
1200,2,2,75000,,10.0,2.0,Furnished,Bandra West,Khan,Silver Isle Apartment,12417049
500,1,1,70000,,4.0,2.0,Unfurnished,Colaba,Sameer H,,12451803
1900,4,4,85000,Mahindra Lifespace Developers Ltd.,7.0,6.0,Semi-Furnished,Goregaon West,TAAJ Shaikh,Mahindra Garden,12727372
1365,3,3,90000,,,,,Parel,Srinivasan Iyer,,13005030
550,1,1,85000,,7.0,6.0,Semi-Furnished,Peddar Road,Kumar Kanan,,13050437
